datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_4
2006-12-16,1209.1759994328022,34.921999994665384,93552.52995300293,5180.800002813339,0.0,546.0,4926.0,14680.93332529068
2006-12-17,3390.460001885891,226.00600032508373,345725.3200531006,14398.600011825562,2033.0,4187.0,13341.0,36946.66670298576
2006-12-18,2203.8259995877743,161.7920002900064,347373.64013671875,9247.19999742508,1063.0,2621.0,14018.0,19028.433310747147
2006-12-19,1666.1940010040998,150.9420003183186,348479.00984191895,7094.000004768372,839.0,7602.0,6197.0,13131.90003490448
2006-12-20,2225.7479998916388,160.99800034984946,348923.6100769043,9313.000001430511,0.0,2648.0,14063.0,20384.799996852875
2006-12-21,1723.2880005091429,144.43400029093027,347096.4099884033,7266.400000095367,1765.0,2692.0,10456.0,13808.466689825058
2006-12-22,2341.33800008893,186.90600065514445,347305.7498931885,9896.999979317188,3151.0,350.0,11131.0,24390.300063610077
2006-12-23,4773.386003404856,221.46999998763204,345795.9500427246,20200.39999628067,2669.0,425.0,14726.0,61736.433366537094
2006-12-24,2550.012001261115,149.90000023692846,348029.91007995605,11002.200029850006,1703.0,5082.0,6891.0,28824.199948310852
2006-12-25,2743.119998604059,240.2800004929304,350495.9000854492,11450.199977397919,6620.0,1962.0,5795.0,31341.66665482521
2006-12-26,3934.110004246235,165.1020003221929,347940.6301269531,16341.000036716461,1086.0,2533.0,14979.0,46970.50010728836
2006-12-27,1528.7600017040968,178.90200059860945,351024.99978637695,6505.19998896122,0.0,314.0,6976.0,18189.33331131935
2006-12-28,2072.6379986852407,208.8760003298521,350306.3998718262,8764.200011968613,2207.0,4419.0,9176.0,18741.96659207344
2006-12-29,3174.3920010626316,196.39400028064847,346854.6800994873,13350.800036072731,1252.0,5162.0,11329.0,35163.53327918053
2006-12-30,2796.1079995781183,312.1420000642538,346377.1498718262,11952.599999427795,3072.0,7893.0,12516.0,23120.800057172775
2006-12-31,3494.1960031092167,150.85200062394142,345451.0698852539,14687.39996355772,0.0,347.0,6502.0,51387.59996628761
2007-01-01,2749.0039999336004,148.1660002656281,345785.73011779785,11400.400021135807,0.0,352.0,5880.0,39584.73325061798
2007-01-02,1269.2360000312328,190.34200064837933,348399.0400695801,5348.19998896122,0.0,348.0,6562.0,14243.933340549469
